label,conference,role,games,accuracy,pick_rate,win_rate,avg_team_probability
pre,ACC,away,1199,0.6171809841534612,0.08423686405337781,0.38198498748957466,0.3420990708874779
pre,ACC,home,1733,0.6924408540103866,0.8967109059434507,0.6757068667051356,0.6547477583981307
pre,American,away,985,0.5725888324873096,0.10253807106598985,0.4121827411167513,0.35607527315190396
pre,American,home,1216,0.6504934210526315,0.9185855263157895,0.6595394736842105,0.6525200073045948
pre,Atlantic 10,away,1005,0.6139303482587065,0.12238805970149254,0.4009950248756219,0.3529692669007624
pre,Atlantic 10,home,1373,0.6882738528769119,0.8943918426802622,0.6758922068463219,0.6552455782252888
pre,Big 12,away,1051,0.5994291151284491,0.11607992388201713,0.4291151284490961,0.352671094706663
pre,Big 12,home,1656,0.7342995169082126,0.9233091787439613,0.7445652173913043,0.6724027405670359
pre,Big East,away,798,0.5789473684210527,0.15037593984962405,0.43107769423558895,0.3691424171572942
pre,Big East,home,1025,0.6819512195121952,0.9180487804878049,0.6858536585365854,0.6593476118061812
pre,Big Ten,away,1283,0.6009353078721746,0.1363990646921278,0.4325798908807482,0.36687650327308474
pre,Big Ten,home,1736,0.722926267281106,0.9182027649769585,0.7217741935483871,0.6643901474092893
pre,Conference USA,away,756,0.6164021164021164,0.07804232804232804,0.40343915343915343,0.3423269356516995
pre,Conference USA,home,855,0.712280701754386,0.9438596491228071,0.7146198830409357,0.675868115125056
pre,Mountain West,away,778,0.6195372750642674,0.14910025706940874,0.4267352185089974,0.37534186081679366
pre,Mountain West,home,1005,0.6895522388059702,0.8606965174129353,0.681592039800995,0.641294035352109
pre,Other,away,20290,0.6979300147856087,0.07062592410054214,0.30744208969935927,0.33761360155856235
pre,Other,home,16778,0.6418524257956848,0.9159613779949934,0.626832757182024,0.6534008400496938
pre,SEC,away,1068,0.5889513108614233,0.14325842696629212,0.4250936329588015,0.35870072871837805
pre,SEC,home,1618,0.7200247218788628,0.9128553770086527,0.7255871446229913,0.6628888897499029
pre,West Coast,away,690,0.6333333333333333,0.17391304347826086,0.40144927536231884,0.3673404000330005
pre,West Coast,home,908,0.6795154185022027,0.8810572687224669,0.6640969162995595,0.6450219176218202
