label,conference,role,games,accuracy,pick_rate,win_rate,avg_team_probability
post,ACC,away,1199,0.6188490408673895,0.08590492076730609,0.38198498748957466,0.3428384069975424
post,ACC,home,1733,0.693594922100404,0.8955568378534333,0.6757068667051356,0.6539974180829651
post,American,away,985,0.5725888324873096,0.10253807106598985,0.4121827411167513,0.35683787250349913
post,American,home,1216,0.649671052631579,0.9177631578947368,0.6595394736842105,0.6517688691228648
post,Atlantic 10,away,1005,0.6139303482587065,0.12238805970149254,0.4009950248756219,0.35371829898284235
post,Atlantic 10,home,1373,0.6882738528769119,0.8943918426802622,0.6758922068463219,0.654489699871773
post,Big 12,away,1051,0.5984776403425309,0.1170313986679353,0.4291151284490961,0.3534160992744595
post,Big 12,home,1656,0.7342995169082126,0.9233091787439613,0.7445652173913043,0.6716752432636354
post,Big East,away,798,0.5789473684210527,0.15037593984962405,0.43107769423558895,0.36988537519880055
post,Big East,home,1025,0.6819512195121952,0.9180487804878049,0.6858536585365854,0.6586007860594407
post,Big Ten,away,1283,0.6009353078721746,0.1363990646921278,0.4325798908807482,0.36763096600902906
post,Big Ten,home,1736,0.7223502304147466,0.9176267281105991,0.7217741935483871,0.6636511648048635
post,Conference USA,away,756,0.6177248677248677,0.07936507936507936,0.40343915343915343,0.3430745560298628
post,Conference USA,home,855,0.712280701754386,0.9438596491228071,0.7146198830409357,0.6751309693956951
post,Mountain West,away,778,0.6195372750642674,0.14910025706940874,0.4267352185089974,0.376095500698283
post,Mountain West,home,1005,0.6895522388059702,0.8606965174129353,0.681592039800995,0.6405387095837999
post,Other,away,20290,0.6979793001478561,0.07146377525874816,0.30744208969935927,0.33835880143428476
post,Other,home,16778,0.6420908332339968,0.914888544522589,0.626832757182024,0.6526528798998363
post,SEC,away,1068,0.5898876404494382,0.14606741573033707,0.4250936329588015,0.35944470347873114
post,SEC,home,1618,0.7200247218788628,0.911619283065513,0.7255871446229913,0.6621485490130801
post,West Coast,away,690,0.6333333333333333,0.17391304347826086,0.40144927536231884,0.3680936765471193
post,West Coast,home,908,0.6795154185022027,0.8810572687224669,0.6640969162995595,0.6442740513708719
