database_name,espn_id,canonical_name,display_name,match_confidence,game_count,conference
Eastern Michigan,2199,E Michigan,Eastern Michigan Eagles,100,11,Unknown
Iona,314,Iona,Iona Gaels,100,11,Unknown
Loyola Maryland,2352,Loyola MD,Loyola Maryland Greyhounds,100,11,Unknown
Notre Dame,87,Notre Dame,Notre Dame Fighting Irish,100,11,Unknown
Oakland,2473,Oakland,Oakland Golden Grizzlies,100,10,Unknown
Coastal Carolina,324,Coastal,Coastal Carolina Chanticleers,100,10,Unknown
Youngstown State,2754,Youngstown St,Youngstown State Penguins,100,10,Unknown
New Hampshire,160,New Hampshire,New Hampshire Wildcats,100,10,Unknown
Tennessee Tech,2635,Tennessee Tech,Tennessee Tech Golden Eagles,100,10,Unknown
Incarnate Word,2916,Incarnate Word,Incarnate Word Cardinals,100,10,Unknown
UNC Asheville,2427,UNC Asheville,UNC Asheville Bulldogs,100,10,Unknown
Eastern Illinois,2197,E Illinois,Eastern Illinois Panthers,100,10,Unknown
Wright State,2750,Wright St,Wright State Raiders,100,10,Unknown
Northern Illinois,2459,N Illinois,Northern Illinois Huskies,100,10,Unknown
Chattanooga Mocs,236,Chattanooga,Chattanooga Mocs,100,10,Unknown
Austin Peay Governors,2046,Austin Peay,Austin Peay Governors,100,10,Unknown
Florida Atlantic,2226,FAU,Florida Atlantic Owls,100,10,Unknown
Eastern Washington,331,E Washington,Eastern Washington Eagles,100,10,Unknown
Central Arkansas,2110,C Arkansas,Central Arkansas Bears,100,10,Unknown
Marshall,276,Marshall,Marshall Thundering Herd,100,10,Unknown
South Alabama,6,South Alabama,South Alabama Jaguars,100,10,Unknown
Bellarmine,91,Bellarmine,Bellarmine Knights,100,10,Unknown
Chicago State,2130,Chicago St,Chicago State Cougars,100,10,Unknown
Indiana State,282,Indiana St,Indiana State Sycamores,100,10,Unknown
Saint Francis,2598,Saint Francis,Saint Francis Red Flash,100,10,Unknown
Towson,119,Towson,Towson Tigers,100,10,Unknown
Montana State,147,Montana St,Montana State Bobcats,100,10,Unknown
Evansville Purple Aces,339,Evansville,Evansville Purple Aces,100,10,Unknown
Alcorn State,2016,Alcorn St,Alcorn State Braves,100,10,Unknown
Kansas,2305,Kansas,Kansas Jayhawks,100,10,Unknown
SIU Edwardsville,2565,SIUE,SIU Edwardsville Cougars,100,10,Unknown
Kansas City Roos,140,Kansas City,Kansas City Roos,100,10,Unknown
Rice,242,Rice,Rice Owls,100,10,Unknown
Kennesaw State,338,Kennesaw St,Kennesaw State Owls,100,10,Unknown
Drexel,2182,Drexel,Drexel Dragons,100,10,Unknown
South Florida,58,South Florida,South Florida Bulls,100,10,Unknown
UT Arlington,250,UT Arlington,UT Arlington Mavericks,100,10,Unknown
Utah Valley,3084,Utah Valley,Utah Valley Wolverines,100,10,Unknown
Pacific,279,Pacific,Pacific Tigers,100,10,Unknown
North Texas,249,North Texas,North Texas Mean Green,100,10,Unknown
Santa Clara,2541,Santa Clara,Santa Clara Broncos,100,10,Unknown
Duke,150,Duke,Duke Blue Devils,100,10,Unknown
Wake Forest,154,Wake Forest,Wake Forest Demon Deacons,100,10,Unknown
Ball State,2050,Ball State,Ball State Cardinals,100,10,Unknown
La Salle,2325,La Salle,La Salle Explorers,100,10,Unknown
Dayton,2168,Dayton,Dayton Flyers,100,10,Unknown
UC Santa Barbara,2540,Santa Barbara,UC Santa Barbara Gauchos,100,10,Unknown
Loyola Chicago,2350,Loyola Chicago,Loyola Chicago Ramblers,100,10,Unknown
Duquesne,2184,Duquesne,Duquesne Dukes,100,10,Unknown
Belmont,2057,Belmont,Belmont Bruins,100,10,Unknown
Wisconsin,275,Wisconsin,Wisconsin Badgers,100,10,Unknown
Auburn,2,Auburn,Auburn Tigers,100,10,Unknown
USC,30,USC,USC Trojans,100,10,Unknown
Tennessee,2633,Tennessee,Tennessee Volunteers,100,10,Unknown
NC State,152,NC State,NC State Wolfpack,100,10,Unknown
Iowa,2294,Iowa,Iowa Hawkeyes,100,10,Unknown
Georgia State,2247,Georgia St,Georgia State Panthers,100,10,Unknown
Old Dominion,295,Old Dominion,Old Dominion Monarchs,100,10,Unknown
Arkansas State,2032,Arkansas St,Arkansas State Red Wolves,100,10,Unknown
Western Illinois,2710,W Illinois,Western Illinois Leathernecks,100,10,Unknown
Binghamton,2066,Binghamton,Binghamton Bearcats,100,10,Unknown
Lipscomb,288,Lipscomb,Lipscomb Bisons,100,10,Unknown
UL Monroe Warhawks,2433,UL Monroe,UL Monroe Warhawks,100,10,Unknown
Mount St. Mary's,116,Mount St Marys,Mount St. Mary's Mountaineers,100,10,Unknown
