database_name,espn_id,canonical_name,display_name,match_confidence,game_count,conference
Tusculum Pioneers,30,USC,USC Trojans,80,2,Unknown
Life Pacific,279,Pacific,Pacific Tigers,80,2,Unknown
Southern Virginia,2582,Southern,Southern Jaguars,80,2,Unknown
Colorado Christian,38,Colorado,Colorado Buffaloes,80,2,Unknown
Washington College (MD) Shoremen,264,Washington,Washington Huskies,80,2,Unknown
Southern Wesleyan,2582,Southern,Southern Jaguars,80,2,Unknown
Arkansas Baptist,8,Arkansas,Arkansas Razorbacks,80,2,Unknown
San Francisco State,2539,San Francisco,San Francisco Dons,80,2,Unknown
Columbia International,171,Columbia,Columbia Lions,80,2,Unknown
Southern Methodist,2582,Southern,Southern Jaguars,80,2,Unknown
Grambling,2755,Grambling,Grambling Tigers,100,2,Unknown
Illinois Fighting,356,Illinois,Illinois Fighting Illini,80,2,Unknown
Johnson & Wales (NC) JOHNSON & WALES-CHARLOTTE,2429,Charlotte,Charlotte 49ers,80,1,Unknown
West Virginia Wesleyan,258,Virginia,Virginia Cavaliers,80,1,Unknown
Western New Mexico,167,New Mexico,New Mexico Lobos,80,1,Unknown
Maine-Augusta Moose,311,Maine,Maine Black Bears,80,1,Unknown
Vermont State - Lyndon,261,Vermont,Vermont Catamounts,80,1,Unknown
Virginia St,258,Virginia,Virginia Cavaliers,80,1,Unknown
Northeastern State RiverHawks,111,Northeastern,Northeastern Huskies,80,1,Unknown
Manhattan Christian Thunder,2363,Manhattan,Manhattan Jaspers,80,1,Unknown
Cornell,172,Cornell,Cornell Big Red,100,1,Unknown
Florida National Conquistadors,57,Florida,Florida Gators,80,1,Unknown
Penn State-New Kensington,213,Penn State,Penn State Nittany Lions,80,1,Unknown
Oakland City Mighty Oaks,2473,Oakland,Oakland Golden Grizzlies,80,1,Unknown
Ohio Christian,195,Ohio,Ohio Bobcats,80,1,Unknown
Tennessee Southern Firehawks,2582,Southern,Southern Jaguars,80,1,Unknown
Missouri Baptist,142,Missouri,Missouri Tigers,80,1,Unknown
Cincinnati Clermont,2132,Cincinnati,Cincinnati Bearcats,80,1,Unknown
Penn State-York,213,Penn State,Penn State Nittany Lions,80,1,Unknown
Missouri Southern State,142,Missouri,Missouri Tigers,80,1,Unknown
Belmont Abbey,2057,Belmont,Belmont Bruins,80,1,Unknown
Ottawa University Arizona,12,Arizona,Arizona Wildcats,80,1,Unknown
Illinois Tech Scarlet,356,Illinois,Illinois Fighting Illini,80,1,Unknown
Dakota State,2449,N Dakota St,North Dakota State Bison,60,1,Unknown
John Brown,225,Brown,Brown Bears,80,1,Unknown
Pittsburgh - Greensburg,221,Pitt,Pittsburgh Panthers,80,1,Unknown
Ohio Wesleyan Battling Bishops,195,Ohio,Ohio Bobcats,80,1,Unknown
Rutgers-Camden Scarlet Raptors,164,Rutgers,Rutgers Scarlet Knights,80,1,Unknown
Campbell,2097,Campbell,Campbell Fighting Camels,100,1,Unknown
Holy Cross College (IN) Saints,107,Holy Cross,Holy Cross Crusaders,80,1,Unknown
Hawai'i Hilo Vulcans,62,Hawai’i,Hawai'i Rainbow Warriors,60,1,Unknown
Southern Arkansas Muleriders,8,Arkansas,Arkansas Razorbacks,80,1,Unknown
Oklahoma Christian OKLAHOMA CHRISTIAN,201,Oklahoma,Oklahoma Sooners,80,1,Unknown
Colorado College,38,Colorado,Colorado Buffaloes,80,1,Unknown
Fresno Pacific Sunbirds,279,Pacific,Pacific Tigers,80,1,Unknown
Washington and Lee,264,Washington,Washington Huskies,80,1,Unknown
Pacific Lutheran,279,Pacific,Pacific Tigers,80,1,Unknown
Penn St Abington,219,Penn,Pennsylvania Quakers,80,1,Unknown
District Of Columbia Firebirds,171,Columbia,Columbia Lions,80,1,Unknown
Whitman Missionaries,314,Iona,Iona Gaels,80,1,Unknown
Southern-New Orleans,2443,New Orleans,New Orleans Privateers,80,1,Unknown
Northwestern Oklahoma State Rangers,77,Northwestern,Northwestern Wildcats,80,1,Unknown
Saint Josephs Long Island,112358,Long Island,Long Island University Sharks,80,1,Unknown
Manhattanville Valiants,2363,Manhattan,Manhattan Jaspers,80,1,Unknown
Concordia-Nebraska Clippers,158,Nebraska,Nebraska Cornhuskers,80,1,Unknown
Mercy,2174,Detroit Mercy,Detroit Mercy Titans,80,1,Unknown
Kentucky State Thorobreds,96,Kentucky,Kentucky Wildcats,80,1,Unknown
St. Xavier  (IL),2752,Xavier,Xavier Musketeers,80,1,Unknown
Louisiana Christian,309,Louisiana,Louisiana Ragin' Cajuns,80,1,Unknown
Bryant Str-Alb,2803,Bryant,Bryant Bulldogs,80,1,Unknown
Auburn-Montgomery Senators,2,Auburn,Auburn Tigers,80,1,Unknown
