iter	Logloss
0	0.6873348009
1	0.6771076317
2	0.6679116439
3	0.6596807178
4	0.6512562805
5	0.6454093251
6	0.6387141045
7	0.6316287342
8	0.6262051635
9	0.6215173198
10	0.6162643956
11	0.6120297538
12	0.6075090513
13	0.602711827
14	0.5992378104
15	0.5958721955
16	0.5931827695
17	0.5908887362
18	0.5876788705
19	0.5854764752
20	0.5831796883
21	0.5810253192
22	0.5795347194
23	0.5778607545
24	0.5768384149
25	0.5753743819
26	0.5737373655
27	0.5716250414
28	0.5704235175
29	0.5695965182
30	0.5686441807
31	0.5673373684
32	0.5664319591
33	0.5654233132
34	0.5645359299
35	0.563680817
36	0.5621886052
37	0.5609817542
38	0.5599121669
39	0.5590196074
40	0.558201334
41	0.5577983425
42	0.5570630051
43	0.5564957842
44	0.5559470902
45	0.5551922056
46	0.5546804547
47	0.5541570947
48	0.5536415165
49	0.5531376317
50	0.5526168862
51	0.5522393752
52	0.5515651637
53	0.5510367428
54	0.5504437127
55	0.5498718046
56	0.5493599542
57	0.5490099441
58	0.5484993837
59	0.5480520612
60	0.54779775
61	0.5475360257
62	0.5473153245
63	0.5469548344
64	0.5467281858
65	0.5465384663
66	0.5460523923
67	0.5457055801
68	0.545447976
69	0.5451585123
70	0.5447598482
71	0.5446373856
72	0.5445372004
73	0.5442846867
74	0.5439574854
75	0.5437260461
76	0.54345988
77	0.543165623
78	0.5429018274
79	0.5427718968
80	0.5425339457
81	0.5423146977
82	0.5422623722
83	0.5420426349
84	0.5418774223
85	0.5417027767
86	0.54155961
87	0.5413574446
88	0.5412111225
89	0.5409883377
90	0.5407608789
91	0.5407418542
92	0.5405311497
93	0.5404948157
94	0.5403517406
95	0.5402629754
96	0.5400887564
97	0.539730398
98	0.5397080573
99	0.5395789653
100	0.539406323
101	0.5392155548
102	0.5391274826
103	0.5390175876
104	0.5388665737
105	0.53883725
106	0.5387797399
107	0.5386307084
108	0.5385212965
109	0.5384539202
110	0.5384008297
111	0.5381537394
112	0.5380700387
113	0.5380238157
114	0.5380180836
115	0.5377734566
116	0.5376551917
117	0.5375306786
118	0.5372545988
119	0.5371463872
120	0.5369996963
121	0.5368923202
122	0.5367978281
123	0.5367201407
124	0.5365938925
125	0.5364846469
126	0.5362468584
127	0.5360904561
128	0.5359838125
129	0.5358849857
130	0.5357783017
131	0.5356547969
132	0.5355390726
133	0.5352647646
134	0.5351646166
135	0.5350595671
136	0.5349523892
137	0.5346525652
138	0.5344574167
139	0.5344554214
140	0.5343866803
141	0.5342738724
142	0.5341912255
143	0.5340496549
144	0.5339650992
145	0.5339646741
146	0.5338272872
147	0.5337372574
148	0.5336439291
149	0.5335266071
150	0.5334913479
151	0.5333514981
152	0.533257002
153	0.5331130305
154	0.5330265893
155	0.5328982448
156	0.5328115742
157	0.5326577021
158	0.5325327479
159	0.5324579419
160	0.5324305487
161	0.5323456732
162	0.5323032772
163	0.5321930779
164	0.5321756552
165	0.5319774504
166	0.5318855867
167	0.5318211667
168	0.5317715293
169	0.5317163449
170	0.5315894334
171	0.531540717
172	0.5315272063
173	0.5315025093
174	0.5313954749
175	0.5312692336
176	0.5312279
177	0.5311856833
178	0.5311191965
179	0.531079769
180	0.5310031461
181	0.5309825055
182	0.530981472
183	0.5309619087
184	0.5309036197
185	0.5309036187
186	0.5308822906
187	0.5308777036
188	0.5308185644
189	0.5307429966
190	0.5306472706
191	0.5305508403
192	0.5304685489
193	0.530402809
194	0.5303303126
195	0.5302560276
196	0.5301862094
197	0.5301831952
198	0.530183195
199	0.530107404
200	0.5301043383
201	0.5300495715
202	0.5298727035
203	0.5298160721
204	0.5297319306
205	0.5296703341
206	0.5295568501
207	0.5295193204
208	0.529436642
209	0.5293463998
210	0.5292908892
211	0.5292330384
212	0.5292026648
213	0.5291369478
214	0.5289937715
215	0.528827869
216	0.5287414721
217	0.5286488739
218	0.5286120242
219	0.5285528145
220	0.528447311
221	0.5283822345
222	0.528296911
223	0.5282312558
224	0.5282017851
225	0.5281247283
226	0.5280593715
227	0.5279569486
228	0.5278849038
229	0.527813254
230	0.5277421326
231	0.5276638458
232	0.5276212851
233	0.5275082055
234	0.5274726119
235	0.5274088509
236	0.5273293709
237	0.5271640927
238	0.5270609222
239	0.526977647
240	0.526932999
241	0.5268269366
242	0.5267593897
243	0.5266847369
244	0.5265506118
245	0.5264220448
246	0.5263193579
247	0.526221935
248	0.5261172984
249	0.526039553
250	0.5260344547
251	0.5259695695
252	0.5259028191
253	0.5258558029
254	0.5257829111
255	0.5256830552
256	0.5256607149
257	0.5255944381
258	0.5255570351
259	0.5255122163
260	0.5254461697
261	0.5253611023
262	0.5252657852
263	0.5251987613
264	0.525058588
265	0.5249677745
266	0.5249307598
267	0.5248691061
268	0.5247629404
269	0.5246837321
270	0.5245153977
271	0.5244558957
272	0.5243726133
273	0.5243238978
274	0.5242760767
275	0.5242040775
276	0.5241002122
277	0.5240179507
278	0.5239647966
279	0.5239048059
280	0.5238056681
281	0.5237579295
282	0.5237065945
283	0.523642548
284	0.5235693067
285	0.5234744806
286	0.5234407469
287	0.5233946976
288	0.52335108
289	0.523281287
290	0.5231885096
291	0.5231080678
292	0.5230307351
293	0.5229581057
294	0.5228975557
